feature,value
1007_s_at,0.7982491255
1053_at,0.7981741428
117_at,0.7982131243
121_at,0.7982667089
1255_g_at,0.7981678843
1294_at,0.7982468009
1316_at,0.7982208729
1320_at,0.7981767654
1405_i_at,0.7982029319
1431_at,0.7984609008
1438_at,0.7982976437
1487_at,0.7983058691
1494_f_at,0.7982218862
1598_g_at,0.7982535362
160020_at,0.7981970906
1729_at,0.7984030843
1773_at,0.7980757356
177_at,0.7982105613
179_at,0.7985059619
1861_at,0.7982649803
200000_s_at,0.7982462049
200001_at,0.7981774807
200002_at,0.7981586456
200003_s_at,0.7982023954
200004_at,0.7981817722
200005_at,0.7981880307
200006_at,0.7982305884
200007_at,0.7981781960
200008_s_at,0.7982004881
200009_at,0.7982104421
200010_at,0.7982058525
200011_s_at,0.7982313633
200012_x_at,0.7982203960
200013_at,0.7982025146
200014_s_at,0.7982173562
200015_s_at,0.7981705666
200016_x_at,0.7982656360
200017_at,0.7981872559
200018_at,0.7981713414
200019_s_at,0.7982361317
200020_at,0.7981993556
200021_at,0.7980656028
200022_at,0.7982096672
200023_s_at,0.7981736660
200024_at,0.7981445789
200025_s_at,0.7981722951
200026_at,0.7981888652
200027_at,0.7982470989
200028_s_at,0.7981992960
200029_at,0.7981942892
200030_s_at,0.7982121706
200031_s_at,0.7982017994
200032_s_at,0.7982355356
200033_at,0.7982174754
200034_s_at,0.7982582450
200035_at,0.7982465029
200036_s_at,0.7981978655
200037_s_at,0.7981467247
200038_s_at,0.7981541157
200039_s_at,0.7981768250
200040_at,0.7981733680
200041_s_at,0.7982065082
200042_at,0.7982137203
200043_at,0.7981958985
200044_at,0.7982071638
200045_at,0.7982026935
200046_at,0.7981780767
200047_s_at,0.7982041240
200048_s_at,0.7982233167
200049_at,0.7982286811
200050_at,0.7981885672
200051_at,0.7982439995
200052_s_at,0.7981838584
200053_at,0.7983186841
200054_at,0.7982032299
200055_at,0.7982100248
200056_s_at,0.7981656194
200057_s_at,0.7981911302
200058_s_at,0.7982481122
200059_s_at,0.7981780767
200060_s_at,0.7982217073
200061_s_at,0.7981691957
200062_s_at,0.7981956005
200063_s_at,0.7981971502
200064_at,0.7982145548
200065_s_at,0.7981949449
200066_at,0.7981318235
200067_x_at,0.7980988026
200068_s_at,0.7980867624
200069_at,0.7982279658
200070_at,0.7983273864
200071_at,0.7981914878
200072_s_at,0.7982130647
200073_s_at,0.7982021570
200074_s_at,0.7982352972
200075_s_at,0.7981815934
200076_s_at,0.7982404232
200077_s_at,0.7981553674
200078_s_at,0.7982206345
200079_s_at,0.7981838584
200080_s_at,0.7981775403
200081_s_at,0.7981950641
200082_s_at,0.7981820107
200083_at,0.7981131673
200084_at,0.7982069254
200085_s_at,0.7981324196
200086_s_at,0.7983057499
200087_s_at,0.7982329130
200088_x_at,0.7982616425
200089_s_at,0.7982062697
200090_at,0.7982462049
200091_s_at,0.7981853485
200092_s_at,0.7981948256
200093_s_at,0.7981405854
200094_s_at,0.7982345819
200095_x_at,0.7981821895
200096_s_at,0.7981768847
200097_s_at,0.7982335091
200098_s_at,0.7981929183
200099_s_at,0.7981997728
200593_s_at,0.7981545925
200594_x_at,0.7981629372
200595_s_at,0.7981785536
200596_s_at,0.7980762720
200597_at,0.7982206345
200598_s_at,0.7982856035
200599_s_at,0.7982056737
200600_at,0.7982246280
200601_at,0.7982352972
200602_at,0.7982950211
200603_at,0.7981938124
200604_s_at,0.7982080579
200605_s_at,0.7982217669
200606_at,0.7982492447
200607_s_at,0.7982387543
200608_s_at,0.7982775569
200609_s_at,0.7982102633
200610_s_at,0.7982442975
200611_s_at,0.7982078195
200612_s_at,0.7982230783
200613_at,0.7982711196
200614_at,0.7981829643
200615_s_at,0.7982494235
200616_s_at,0.7981271744
200617_at,0.7980452180
200618_at,0.7981193662
200619_at,0.7982456088
200620_at,0.7982143760
200621_at,0.7982369065
200622_x_at,0.7982073426
200623_s_at,0.7982242703
200624_s_at,0.7982142568
200625_s_at,0.7982343435
200626_s_at,0.7981975079
200627_at,0.7981936932
200628_s_at,0.7982576489
200629_at,0.7982809544
200630_x_at,0.7982687354
200631_s_at,0.7981224060
200632_s_at,0.7981364727
200633_at,0.7982632518
200634_at,0.7981811762
200635_s_at,0.7981998920
200636_s_at,0.7981092930
200637_s_at,0.7981015444
200638_s_at,0.7981790900
200639_s_at,0.7980998755
200640_at,0.7981365323
200641_s_at,0.7981932163
200642_at,0.7982165813
200643_at,0.7981908321
200644_at,0.7982533574
200645_at,0.7982444763
200646_s_at,0.7983101010
200647_x_at,0.7981780171
200648_s_at,0.7982292771
200649_at,0.7982317209
200650_s_at,0.7983112335
200651_at,0.7981081605
200652_at,0.7981767058
200653_s_at,0.7981756330
200654_at,0.7982453108
200655_s_at,0.7982332110
200656_s_at,0.7981598377
200657_at,0.7982152700
200658_s_at,0.7981101274
200659_s_at,0.7982459664
200660_at,0.7982059717
200661_at,0.7980052829
200662_s_at,0.7982138991
200663_at,0.7982475758
200664_s_at,0.7981585264
200665_s_at,0.7982146740
200666_s_at,0.7981600165
200667_at,0.7981532812
200668_s_at,0.7981988788
200669_s_at,0.7981879711
200670_at,0.7982390523
200671_s_at,0.7981860638
200672_x_at,0.7981679440
200673_at,0.7982153893
200674_s_at,0.7981892228
200675_at,0.7981520891
200676_s_at,0.7981683612
200677_at,0.7981950045
200678_x_at,0.7981297374
200679_x_at,0.7982329726
200680_x_at,0.7982127070
200681_at,0.7982284427
200682_s_at,0.7981182337
200683_s_at,0.7982093692
200684_s_at,0.7981972098
200685_at,0.7984265685
200686_s_at,0.7981716990
200687_s_at,0.7981902361
200688_at,0.7981446385
200689_x_at,0.7982779145
200690_at,0.7982038856
200691_s_at,0.7982139587
200692_s_at,0.7982079983
200693_at,0.7981872559
200694_s_at,0.7981833220
200695_at,0.7981324196
200696_s_at,0.7985892892
200697_at,0.7982850671
200698_at,0.7981557846
200699_at,0.7982161045
200700_s_at,0.7981655002
200701_at,0.7981685996
200702_s_at,0.7982364297
200703_at,0.7981471419
200704_at,0.7982631326
200705_s_at,0.7982054353
200706_s_at,0.7982456088
200707_at,0.7981960177
200708_at,0.7981542945
200709_at,0.7982026339
200710_at,0.7981181741
200711_s_at,0.7981769443
200712_s_at,0.7982414961
200713_s_at,0.7981624603
200714_x_at,0.7981607914
200715_x_at,0.7982106209
200716_x_at,0.7981799841
200717_x_at,0.7981050014
200718_s_at,0.7981966138
200719_at,0.7982190847
200720_s_at,0.7981375456
200721_s_at,0.7982414961
200722_s_at,0.7980777025
200723_s_at,0.7981712818
200724_at,0.7984614968
