feature,value
1007_s_at,0.0000178392
1053_at,-0.0000153483
117_at,-0.0001771427
121_at,0.0000091489
1255_g_at,0.0003118855
1294_at,0.0001807936
1316_at,-0.0000269047
1320_at,0.0000307961
1405_i_at,0.0001457070
1431_at,-0.0000831301
1438_at,-0.0001290444
1487_at,-0.0000593024
1494_f_at,-0.0000922280
1598_g_at,0.0000252840
160020_at,-0.0000807759
1729_at,0.0001163942
1773_at,0.0000204471
177_at,0.0000291773
179_at,0.0000081199
1861_at,0.0000542777
200000_s_at,-0.0001583337
200001_at,-0.0000618863
200002_at,0.0001875469
200003_s_at,0.0001248881
200004_at,-0.0003164746
200005_at,-0.0001390615
200006_at,-0.0001610418
200007_at,0.0001791666
200008_s_at,-0.0000001849
200009_at,0.0001027553
200010_at,-0.0002216671
200011_s_at,-0.0000144983
200012_x_at,-0.0000564603
200013_at,0.0001360670
200014_s_at,-0.0000172654
200015_s_at,0.0000746907
200016_x_at,-0.0004429997
200017_at,-0.0000872836
200018_at,-0.0001207639
200019_s_at,0.0000353614
200020_at,-0.0000211098
200021_at,-0.0000072631
200022_at,0.0000383292
200023_s_at,-0.0000980730
200024_at,0.0000066218
200025_s_at,-0.0001013955
200026_at,-0.0001231113
200027_at,-0.0000736847
200028_s_at,0.0000143845
200029_at,-0.0000645024
200030_s_at,-0.0000024320
200031_s_at,0.0000077061
200032_s_at,0.0000871160
200033_at,0.0000541179
200034_s_at,-0.0000008626
200035_at,0.0001271793
200036_s_at,0.0000009195
200037_s_at,0.0000634163
200038_s_at,0.0000875468
200039_s_at,-0.0000534010
200040_at,0.0001032587
200041_s_at,0.0000882827
200042_at,-0.0001359138
200043_at,0.0000367716
200044_at,-0.0000349081
200045_at,-0.0000415708
200046_at,-0.0000567157
200047_s_at,0.0000473852
200048_s_at,0.0000018545
200049_at,0.0000329100
200050_at,0.0000732735
200051_at,-0.0000533201
200052_s_at,-0.0000749808
200053_at,-0.0000386047
200054_at,0.0001865871
200055_at,0.0001936688
200056_s_at,-0.0000032049
200057_s_at,-0.0000133129
200058_s_at,-0.0000045182
200059_s_at,0.0001827929
200060_s_at,-0.0000474761
200061_s_at,0.0000208465
200062_s_at,0.0002866342
200063_s_at,-0.0000150610
200064_at,0.0001948110
200065_s_at,-0.0000261927
200066_at,-0.0000096456
200067_x_at,-0.0000198300
200068_s_at,-0.0000397981
200069_at,0.0000430013
200070_at,0.0000602337
200071_at,0.0001864255
200072_s_at,-0.0000407398
200073_s_at,0.0001436161
200074_s_at,0.0000416229
200075_s_at,0.0001579937
200076_s_at,0.0001540185
200077_s_at,-0.0000103949
200078_s_at,-0.0000445461
200079_s_at,-0.0001624754
200080_s_at,-0.0001225195
200081_s_at,0.0001396403
200082_s_at,-0.0000766178
200083_at,0.0001422362
200084_at,0.0000403393
200085_s_at,0.0000043147
200086_s_at,-0.0000521934
200087_s_at,-0.0000180504
200088_x_at,0.0000769399
200089_s_at,0.0000863369
200090_at,-0.0000824717
200091_s_at,0.0002902129
200092_s_at,0.0000494451
200093_s_at,0.0001292442
200094_s_at,-0.0000559468
200095_x_at,-0.0000279670
200096_s_at,0.0000177890
200097_s_at,-0.0002999496
200098_s_at,0.0000194044
200099_s_at,-0.0002739180
200593_s_at,0.0000356350
200594_x_at,0.0001318538
200595_s_at,0.0003205351
200596_s_at,-0.0000249603
200597_at,0.0001026858
200598_s_at,0.0000274584
200599_s_at,0.0000013015
200600_at,-0.0001489500
200601_at,0.0000835168
200602_at,-0.0001197198
200603_at,0.0002149561
200604_s_at,-0.0003972733
200605_s_at,-0.0002703273
200606_at,0.0000801997
