    Spearman   Pearson  Jaccard@1  Jaccard@2  Jaccard@3  Jaccard@4  Jaccard@5  Jaccard@6  Jaccard@7  Jaccard@8  Jaccard@9  Jaccard@10  Jaccard@11  Jaccard@12  Jaccard@13  Jaccard@14  Jaccard@15  Jaccard@16  Jaccard@17  Jaccard@18  Jaccard@19  Jaccard@20  Jaccard@21  Jaccard@22  Jaccard@23  Jaccard@24  Jaccard@25  Jaccard@26  Jaccard@27  Jaccard@28  Jaccard@29  Jaccard@30  Jaccard@31  Jaccard@32  Jaccard@33  Jaccard@34  Jaccard@35  Jaccard@36  Jaccard@37  Jaccard@38  Jaccard@39  Jaccard@40  Jaccard@41  Jaccard@42  Jaccard@43  Jaccard@44  Jaccard@45  Jaccard@46  Jaccard@47  Jaccard@48  Jaccard@49  Jaccard@50  Jaccard@51  Jaccard@52  Jaccard@53  Jaccard@54  Jaccard@55  Jaccard@56  Jaccard@57  Jaccard@58  Jaccard@59  Jaccard@60  Jaccard@61  Jaccard@62  Jaccard@63  Jaccard@64  Jaccard@65  Jaccard@66  Jaccard@67  Jaccard@68  Jaccard@69  Jaccard@70  Jaccard@71  Jaccard@72  Jaccard@73  Jaccard@74  Jaccard@75  Jaccard@76  Jaccard@77  Jaccard@78  Jaccard@79  Jaccard@80  Jaccard@81  Jaccard@82  Jaccard@83  Jaccard@84  Jaccard@85  Jaccard@86  Jaccard@87  Jaccard@88  Jaccard@89  Jaccard@90  Jaccard@91  Jaccard@92  Jaccard@93  Jaccard@94  Jaccard@95  Jaccard@96  Jaccard@97  Jaccard@98  Jaccard@99  Jaccard@100
0   0.722952  0.965306        1.0   1.000000        1.0   0.600000   0.666667   0.500000   0.555556   0.600000   0.636364    0.818182    1.000000    0.846154    0.857143    0.866667    0.764706    0.777778    0.700000    0.800000    0.809524    0.818182    0.826087    0.833333    0.840000    0.846154    0.851852    0.925926    0.928571    0.931034    1.000000         1.0      0.9375    0.882353    0.833333    0.837838    0.794872    0.800000    0.761905    0.767442    0.772727    0.739130    0.708333    0.714286    0.686275    0.660377    0.666667    0.642857    0.649123    0.655172    0.633333    0.612903    0.593750    0.575758    0.582090    0.565217    0.571429    0.577465    0.583333    0.567568    0.552632    0.558442    0.584416    0.589744    0.615385    0.600000    0.625000    0.629630    0.634146    0.638554    0.662651    0.666667    0.690476    0.674419    0.678161    0.701149    0.724138    0.727273    0.711111    0.733333    0.736264    0.739130    0.760870    0.763441    0.747368    0.768421    0.789474    0.791667    0.812500    0.814433    0.816327    0.818182    0.820000    0.840000    0.860000    0.880000    0.900000    0.920000    0.940000    0.960000        0.98          1.0
1   0.728425  0.967404        0.0   0.333333        1.0   0.600000   0.428571   0.714286   0.750000   0.600000   0.800000    1.000000    1.000000    1.000000    0.857143    0.750000    0.764706    0.882353    0.888889    0.800000    0.727273    0.739130    0.750000    0.760000    0.769231    0.846154    0.923077    0.857143    0.862069    0.866667    0.933333         1.0      0.9375    0.939394    0.885714    0.888889    0.842105    0.800000    0.761905    0.767442    0.772727    0.739130    0.708333    0.680000    0.653846    0.629630    0.636364    0.614035    0.593220    0.573770    0.580645    0.612903    0.593750    0.600000    0.606061    0.636364    0.641791    0.623188    0.628571    0.657143    0.661972    0.666667    0.648649    0.653333    0.657895    0.662338    0.688312    0.670886    0.654321    0.658537    0.642857    0.647059    0.670588    0.655172    0.659091    0.681818    0.685393    0.688889    0.692308    0.714286    0.736264    0.720430    0.723404    0.726316    0.747368    0.768421    0.789474    0.791667    0.812500    0.814433    0.816327    0.836735    0.838384    0.858586    0.878788    0.898990    0.900000    0.920000    0.940000    0.960000        0.98          1.0
2   0.781914  0.975212        0.0   1.000000        0.5   0.600000   1.000000   0.714286   0.750000   0.777778   0.800000    0.818182    1.000000    1.000000    0.857143    0.866667    0.764706    0.684211    0.700000    0.714286    0.809524    0.904762    0.826087    0.833333    0.840000    0.846154    0.923077    1.000000    0.928571    0.931034    0.933333         1.0      0.9375    0.882353    0.833333    0.789474    0.750000    0.714286    0.720930    0.727273    0.772727    0.739130    0.744681    0.714286    0.686275    0.660377    0.666667    0.672727    0.649123    0.627119    0.633333    0.639344    0.619048    0.625000    0.656250    0.661538    0.641791    0.671642    0.652174    0.657143    0.661972    0.690141    0.694444    0.698630    0.702703    0.684211    0.710526    0.714286    0.717949    0.743590    0.725000    0.707317    0.710843    0.714286    0.697674    0.720930    0.724138    0.747126    0.770115    0.793103    0.775281    0.758242    0.760870    0.782609    0.804348    0.806452    0.789474    0.810526    0.812500    0.833333    0.835052    0.855670    0.876289    0.877551    0.878788    0.898990    0.919192    0.939394    0.940000    0.960000        0.98          1.0
3   0.827627  0.979801        1.0   1.000000        1.0   0.600000   0.428571   0.500000   0.555556   0.600000   0.636364    0.818182    1.000000    1.000000    0.857143    1.000000    1.000000    1.000000    1.000000    1.000000    0.900000    1.000000    0.909091    0.833333    0.769231    0.846154    0.851852    0.857143    0.928571    0.931034    0.933333         1.0      0.9375    0.882353    0.833333    0.789474    0.842105    0.800000    0.804878    0.809524    0.772727    0.777778    0.744681    0.714286    0.720000    0.692308    0.730769    0.703704    0.678571    0.655172    0.661017    0.666667    0.645161    0.677419    0.682540    0.714286    0.692308    0.696970    0.727273    0.731343    0.735294    0.739130    0.742857    0.722222    0.702703    0.706667    0.710526    0.692308    0.696203    0.700000    0.703704    0.707317    0.731707    0.734940    0.717647    0.720930    0.724138    0.727273    0.711111    0.733333    0.755556    0.777778    0.780220    0.802198    0.804348    0.806452    0.808511    0.829787    0.831579    0.833333    0.854167    0.855670    0.857143    0.877551    0.897959    0.918367    0.938776    0.939394    0.959596    0.979798        0.98          1.0
4   0.730729  0.970084        1.0   0.333333        0.2   0.333333   0.428571   0.714286   0.750000   0.600000   0.800000    0.818182    0.833333    0.846154    0.857143    0.866667    0.764706    0.684211    0.700000    0.714286    0.809524    0.818182    0.826087    0.833333    0.840000    0.920000    0.923077    1.000000    0.928571    0.931034    0.933333         1.0      0.9375    0.882353    0.885714    0.888889    0.891892    0.846154    0.804878    0.809524    0.813953    0.777778    0.744681    0.714286    0.686275    0.692308    0.666667    0.642857    0.620690    0.627119    0.606557    0.587302    0.569231    0.575758    0.558824    0.542857    0.527778    0.555556    0.561644    0.567568    0.573333    0.578947    0.605263    0.589744    0.615385    0.600000    0.604938    0.609756    0.614458    0.619048    0.623529    0.647059    0.651163    0.655172    0.678161    0.681818    0.704545    0.707865    0.711111    0.733333    0.717391    0.720430    0.741935    0.763441    0.765957    0.750000    0.752577    0.773196    0.793814    0.795918    0.816327    0.836735    0.838384    0.840000    0.860000    0.880000    0.900000    0.920000    0.940000    0.960000        0.98          1.0
5   0.738470  0.974725        1.0   0.333333        1.0   0.600000   0.666667   0.714286   0.750000   0.777778   0.800000    0.818182    0.833333    1.000000    0.857143    0.866667    1.000000    0.882353    0.888889    0.800000    0.809524    0.818182    0.826087    0.760000    0.840000    0.846154    0.923077    1.000000    0.928571    0.931034    0.933333         1.0      0.9375    0.882353    0.833333    0.837838    0.842105    0.800000    0.804878    0.809524    0.772727    0.739130    0.708333    0.680000    0.653846    0.629630    0.636364    0.642857    0.649123    0.655172    0.661017    0.666667    0.645161    0.625000    0.656250    0.636364    0.641791    0.671642    0.652174    0.657143    0.661972    0.643836    0.648649    0.653333    0.657895    0.684211    0.688312    0.670886    0.675000    0.658537    0.642857    0.647059    0.632184    0.636364    0.640449    0.644444    0.666667    0.652174    0.655914    0.677419    0.698925    0.720430    0.723404    0.726316    0.729167    0.750000    0.752577    0.773196    0.793814    0.795918    0.816327    0.818182    0.820000    0.840000    0.860000    0.880000    0.900000    0.920000    0.940000    0.960000        0.98          1.0
6   0.822142  0.979812        0.0   1.000000        1.0   0.600000   0.666667   0.714286   0.555556   0.600000   0.636364    0.818182    1.000000    1.000000    0.857143    0.866667    0.875000    0.882353    0.888889    0.894737    0.900000    0.904762    0.826087    0.760000    0.840000    0.846154    0.851852    0.857143    0.862069    0.866667    0.933333         1.0      0.9375    0.939394    0.941176    0.888889    0.842105    0.800000    0.850000    0.809524    0.813953    0.818182    0.782609    0.750000    0.720000    0.725490    0.764706    0.735849    0.773585    0.745455    0.750000    0.724138    0.700000    0.704918    0.709677    0.714286    0.692308    0.696970    0.676471    0.681159    0.685714    0.666667    0.671233    0.675676    0.657895    0.662338    0.688312    0.692308    0.675000    0.679012    0.682927    0.666667    0.690476    0.694118    0.697674    0.720930    0.744186    0.747126    0.770115    0.772727    0.795455    0.818182    0.820225    0.822222    0.824176    0.826087    0.827957    0.810526    0.812500    0.833333    0.835052    0.855670    0.876289    0.896907    0.897959    0.918367    0.919192    0.939394    0.959596    0.960000        0.98          1.0
7   0.761056  0.975035        0.0   1.000000        1.0   0.600000   0.666667   0.714286   0.750000   0.777778   0.636364    0.818182    1.000000    0.846154    0.857143    0.866667    0.764706    0.684211    0.700000    0.800000    0.809524    0.904762    0.909091    0.913043    0.916667    0.920000    0.923077    1.000000    0.928571    0.866667    0.933333         1.0      0.9375    0.882353    0.885714    0.837838    0.842105    0.800000    0.761905    0.767442    0.733333    0.739130    0.744681    0.714286    0.720000    0.692308    0.666667    0.672727    0.678571    0.655172    0.661017    0.666667    0.672131    0.704918    0.737705    0.714286    0.692308    0.696970    0.676471    0.657143    0.638889    0.643836    0.626667    0.631579    0.636364    0.620253    0.625000    0.609756    0.614458    0.619048    0.623529    0.627907    0.651163    0.655172    0.640449    0.644444    0.666667    0.688889    0.692308    0.714286    0.698925    0.720430    0.741935    0.744681    0.765957    0.787234    0.808511    0.810526    0.812500    0.833333    0.835052    0.836735    0.857143    0.877551    0.897959    0.918367    0.919192    0.920000    0.940000    0.960000        0.98          1.0
8   0.741074  0.968385        0.0   0.333333        1.0   0.600000   1.000000   0.714286   0.750000   0.600000   0.800000    0.818182    1.000000    0.846154    1.000000    1.000000    0.875000    0.777778    0.700000    0.714286    0.652174    0.666667    0.680000    0.692308    0.769231    0.714286    0.785714    0.857143    0.862069    0.866667    0.933333         1.0      0.9375    0.939394    0.885714    0.837838    0.842105    0.800000    0.761905    0.809524    0.813953    0.777778    0.744681    0.714286    0.720000    0.725490    0.698113    0.672727    0.678571    0.655172    0.689655    0.666667    0.672131    0.677419    0.682540    0.661538    0.641791    0.623188    0.628571    0.633803    0.638889    0.621622    0.626667    0.610390    0.615385    0.620253    0.625000    0.629630    0.634146    0.658537    0.662651    0.666667    0.670588    0.655172    0.659091    0.681818    0.685393    0.707865    0.711111    0.733333    0.736264    0.739130    0.760870    0.782609    0.765957    0.768421    0.789474    0.791667    0.775510    0.795918    0.797980    0.818182    0.820000    0.840000    0.860000    0.880000    0.900000    0.920000    0.940000    0.960000        0.98          1.0
9   0.717804  0.972626        0.0   1.000000        1.0   1.000000   0.666667   0.714286   0.750000   0.777778   0.636364    0.818182    0.833333    1.000000    0.857143    0.866667    0.875000    0.882353    0.789474    0.894737    0.900000    0.904762    0.909091    0.913043    0.916667    0.920000    1.000000    1.000000    0.928571    0.866667    0.933333         1.0      0.9375    0.882353    0.833333    0.789474    0.750000    0.756098    0.761905    0.767442    0.733333    0.702128    0.673469    0.647059    0.653846    0.692308    0.698113    0.672727    0.649123    0.627119    0.606557    0.587302    0.593750    0.600000    0.606061    0.636364    0.617647    0.623188    0.628571    0.657143    0.638889    0.643836    0.648649    0.653333    0.636364    0.620253    0.625000    0.629630    0.654321    0.658537    0.642857    0.666667    0.670588    0.674419    0.659091    0.644444    0.666667    0.670330    0.673913    0.677419    0.680851    0.702128    0.705263    0.726316    0.729167    0.731959    0.734694    0.755102    0.775510    0.777778    0.797980    0.818182    0.820000    0.840000    0.860000    0.880000    0.900000    0.920000    0.940000    0.960000        0.98          1.0
10  0.789667  0.970882        0.0   0.333333        1.0   0.600000   0.666667   0.500000   0.555556   0.600000   0.800000    0.818182    1.000000    0.846154    0.857143    0.750000    0.875000    0.777778    0.789474    0.800000    0.727273    0.818182    0.826087    0.833333    0.840000    0.846154    0.851852    0.857143    0.862069    0.931034    0.933333         1.0      0.9375    0.939394    0.885714    0.888889    0.842105    0.846154    0.804878    0.767442    0.772727    0.777778    0.744681    0.714286    0.720000    0.692308    0.698113    0.672727    0.709091    0.684211    0.661017    0.666667    0.672131    0.650794    0.656250    0.661538    0.641791    0.623188    0.628571    0.633803    0.616438    0.643836    0.648649    0.653333    0.680000    0.706667    0.733333    0.736842    0.717949    0.700000    0.703704    0.707317    0.710843    0.714286    0.697674    0.720930    0.724138    0.727273    0.750000    0.772727    0.775281    0.777778    0.800000    0.802198    0.804348    0.787234    0.789474    0.810526    0.812500    0.814433    0.816327    0.836735    0.857143    0.877551    0.878788    0.898990    0.900000    0.920000    0.940000    0.960000        0.98          1.0
