    Spearman   Pearson  Jaccard@1  Jaccard@2  Jaccard@3  Jaccard@4  Jaccard@5  Jaccard@6  Jaccard@7  Jaccard@8  Jaccard@9  Jaccard@10  Jaccard@11  Jaccard@12  Jaccard@13  Jaccard@14  Jaccard@15  Jaccard@16  Jaccard@17  Jaccard@18  Jaccard@19  Jaccard@20  Jaccard@21  Jaccard@22  Jaccard@23  Jaccard@24  Jaccard@25  Jaccard@26  Jaccard@27  Jaccard@28  Jaccard@29  Jaccard@30  Jaccard@31  Jaccard@32  Jaccard@33  Jaccard@34  Jaccard@35  Jaccard@36  Jaccard@37  Jaccard@38  Jaccard@39  Jaccard@40  Jaccard@41  Jaccard@42  Jaccard@43  Jaccard@44  Jaccard@45  Jaccard@46  Jaccard@47  Jaccard@48  Jaccard@49  Jaccard@50
0   0.276062  0.955549        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.125000    0.111111    0.100000    0.200000    0.238095    0.217391    0.200000    0.230769    0.259259    0.333333    0.357143    0.379310    0.354839    0.375000    0.437500    0.411765    0.428571    0.444444    0.459459    0.473684    0.450000    0.463415    0.512195    0.560976    0.534884    0.545455    0.590909    0.636364    0.644444    0.688889    0.733333    0.739130    0.744681    0.787234    0.829787    0.872340    0.875000    0.916667    0.958333    0.959184        0.96         1.0
1  -0.034334  0.965730        0.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.230769   0.200000    0.176471    0.157895    0.142857    0.130435    0.120000    0.153846    0.142857    0.133333    0.125000    0.117647    0.142857    0.135135    0.189189    0.243243    0.263158    0.315789    0.300000    0.317073    0.333333    0.318182    0.363636    0.409091    0.454545    0.500000    0.545455    0.555556    0.600000    0.608696    0.652174    0.695652    0.739130    0.782609    0.750000    0.791667    0.833333    0.836735    0.877551    0.918367    0.959184        0.96         1.0
2   0.131525  0.961646        0.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.333333   0.384615    0.333333    0.294118    0.333333    0.300000    0.272727    0.250000    0.280000    0.259259    0.241379    0.266667    0.250000    0.272727    0.294118    0.277778    0.297297    0.351351    0.368421    0.350000    0.365854    0.414634    0.463415    0.476190    0.488372    0.500000    0.545455    0.521739    0.500000    0.541667    0.583333    0.625000    0.632653    0.640000    0.680000    0.720000    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
3   0.209604  0.977071        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.125000    0.111111    0.157895    0.200000    0.238095    0.217391    0.200000    0.280000    0.259259    0.285714    0.310345    0.290323    0.272727    0.333333    0.352941    0.371429    0.428571    0.405405    0.421053    0.473684    0.487179    0.500000    0.512195    0.523810    0.534884    0.545455    0.555556    0.600000    0.608696    0.652174    0.659574    0.702128    0.708333    0.714286    0.755102    0.795918    0.836735    0.877551    0.918367    0.920000        0.96         1.0
4   0.278752  0.963731        0.0        1.0        0.5   0.333333   0.250000   0.200000   0.272727   0.230769   0.285714    0.333333    0.294118    0.263158    0.238095    0.217391    0.200000    0.230769    0.259259    0.241379    0.266667    0.333333    0.312500    0.333333    0.352941    0.411765    0.428571    0.485714    0.500000    0.473684    0.526316    0.538462    0.512195    0.523810    0.571429    0.581395    0.590909    0.600000    0.644444    0.652174    0.695652    0.739130    0.782609    0.826087    0.829787    0.833333    0.836735    0.877551    0.880000    0.920000        0.96         1.0
5   0.136903  0.967009        1.0        1.0        0.5   0.333333   0.250000   0.333333   0.272727   0.230769   0.285714    0.250000    0.222222    0.263158    0.238095    0.217391    0.200000    0.185185    0.214286    0.241379    0.266667    0.290323    0.272727    0.294118    0.314286    0.333333    0.388889    0.405405    0.384615    0.400000    0.450000    0.428571    0.409091    0.454545    0.466667    0.478261    0.489362    0.531915    0.541667    0.551020    0.591837    0.632653    0.673469    0.714286    0.755102    0.795918    0.836735    0.840000    0.880000    0.920000        0.96         1.0
6  -0.022329  0.965659        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.200000    0.176471    0.222222    0.200000    0.181818    0.217391    0.200000    0.230769    0.259259    0.241379    0.266667    0.290323    0.272727    0.294118    0.352941    0.371429    0.351351    0.333333    0.317073    0.365854    0.380952    0.395349    0.409091    0.454545    0.466667    0.478261    0.521739    0.531915    0.574468    0.583333    0.591837    0.632653    0.673469    0.714286    0.755102    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
7   0.072941  0.973026        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.230769   0.285714    0.250000    0.294118    0.263158    0.238095    0.217391    0.200000    0.185185    0.214286    0.241379    0.266667    0.290323    0.312500    0.333333    0.352941    0.371429    0.388889    0.405405    0.384615    0.365854    0.414634    0.428571    0.476190    0.454545    0.466667    0.478261    0.521739    0.531915    0.574468    0.583333    0.625000    0.666667    0.673469    0.714286    0.720000    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
8   0.114526  0.959974        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.200000    0.176471    0.157895    0.142857    0.130435    0.166667    0.200000    0.230769    0.259259    0.285714    0.310345    0.333333    0.354839    0.375000    0.352941    0.333333    0.351351    0.333333    0.317073    0.333333    0.380952    0.395349    0.441860    0.488372    0.500000    0.545455    0.555556    0.565217    0.574468    0.583333    0.625000    0.632653    0.673469    0.714286    0.720000    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
9   0.140264  0.961470        0.0        1.0        0.5   0.333333   0.250000   0.200000   0.272727   0.230769   0.200000    0.176471    0.157895    0.200000    0.238095    0.272727    0.250000    0.280000    0.360000    0.333333    0.310345    0.290323    0.312500    0.294118    0.314286    0.333333    0.351351    0.405405    0.384615    0.400000    0.450000    0.500000    0.512195    0.488372    0.500000    0.511111    0.521739    0.500000    0.510204    0.551020    0.591837    0.632653    0.673469    0.714286    0.755102    0.795918    0.836735    0.877551    0.880000    0.920000        0.96         1.0
